mean,max,min
214.6,272,112
179.0,275,109
282.0,307,261
223.0,303,114
250.0,307,138
189.6,281,113
162.8,259,115
274.2,281,261
251.8,306,139
280.2,295,260
229.0,305,128
230.4,281,139
242.4,304,97
193.8,306,99
281.6,303,260
198.6,307,39
256.6,307,131
249.0,294,138
247.4,293,160
207.2,305,38
175.4,306,36
225.2,290,92
243.2,307,150
215.0,293,112
257.2,306,134
251.0,305,138
282.4,306,261
230.4,305,153
242.2,291,115
199.2,306,26
211.8,282,111
130.0,182,40
237.0,281,147
280.8,305,261
179.6,307,31
237.0,294,147
278.0,306,258
246.4,283,141
279.4,305,261
251.6,306,138
250.0,305,135
258.8,294,170
252.2,304,156
235.4,294,132
242.6,283,170
186.2,270,101
217.0,290,113
206.2,306,39
218.4,294,112
277.6,293,260
200.2,279,139
281.0,306,260
250.4,306,109
282.6,307,261
253.2,305,151
217.8,307,36
254.6,306,146
257.0,307,132
183.2,291,45
190.2,270,123
224.0,307,122
282.6,307,261
248.8,297,112
200.8,305,95
213.2,282,114
233.0,306,36
190.2,282,111
177.2,302,39
251.0,303,140
257.2,306,138
241.0,292,113
237.4,301,39
239.2,307,132
282.8,306,261
242.0,282,154
282.0,307,260
158.4,280,38
168.2,294,110
169.6,282,35
147.4,221,114
212.2,307,38
257.4,307,133
227.2,305,129
213.4,283,112
215.0,290,109
216.2,283,129
237.6,305,124
185.8,294,109
237.2,292,110
220.8,306,113
272.8,306,245
216.4,288,113
173.0,257,135
255.2,304,128
251.0,306,113
250.6,305,111
273.6,306,252
280.0,307,261
254.4,295,134
281.8,305,261
254.2,301,164
165.4,293,33
209.0,283,111
208.8,307,45
282.8,307,261
212.6,281,109
274.0,305,253
212.6,294,111
251.6,288,131
211.0,307,26
234.4,292,113
252.0,307,142
235.8,307,26
223.0,305,114
232.2,282,110
269.2,306,204
238.8,306,42
205.4,292,26
235.0,305,25
245.6,294,99
244.6,291,112
225.8,307,113
258.2,306,181
212.2,293,111
282.4,306,261
224.6,307,111
282.0,305,260
196.4,292,26
251.0,306,113
204.4,306,25
204.8,306,25
282.6,306,261
263.2,305,174
268.0,306,205
211.8,287,114
282.2,307,261
281.2,307,259
281.2,306,254
204.0,283,95
239.0,304,143
234.8,303,25
204.6,307,27
204.4,306,25
179.6,307,37
170.6,307,26
282.2,307,261
262.6,306,171
282.0,307,261
204.8,306,26
232.6,307,25
282.4,305,261
250.8,307,114
279.6,293,261
282.6,307,260
216.4,307,25
269.8,292,246
244.6,294,115
226.2,307,113
253.2,305,149
202.4,294,24
204.2,307,26
252.2,306,141
223.4,305,114
166.2,293,28
203.6,307,27
172.2,307,26
170.2,307,27
209.8,307,89
233.8,304,25
232.8,294,25
205.0,307,26
251.2,305,114
236.8,306,36
235.4,307,24
176.6,307,45
204.0,306,25
205.2,307,26
178.4,282,101
204.4,306,26
235.8,305,27
201.2,307,26
283.0,307,261
204.2,307,26
283.0,307,261
204.2,307,26
157.2,270,26
204.0,307,27
235.8,306,28
251.4,307,112
205.0,307,35
282.6,306,261
242.6,305,103
259.2,307,152
282.8,307,260
251.2,307,114
202.8,307,25
258.4,306,161
242.4,306,113
282.6,306,260
250.6,307,108
235.6,306,26
282.8,307,261
282.4,306,260
236.6,305,111
283.0,307,261
270.8,307,223
245.4,306,143
250.6,307,113
245.2,306,115
252.0,307,115
249.0,306,101
283.0,307,261
282.6,307,260
236.0,307,114
257.4,307,166
216.8,307,26
210.0,307,78
241.8,294,120
265.4,307,182
213.2,283,112
282.6,307,260
225.8,307,26
233.8,305,99
282.8,307,260
282.8,307,261
283.0,307,261
278.6,307,239
